Date,^GSPC,^RUT,^DJI,^IXIC,AGG,DBC,^VIX
2015-12-28,2056.5,1148.2099609375,17528.26953125,5040.990234375,92.34637451171875,12.825295448303223,16.90999984741211
2015-12-29,2078.360107421875,1160.52001953125,17720.98046875,5107.93994140625,92.11550903320312,13.039050102233887,16.079999923706055
2015-12-30,2063.360107421875,1149.6400146484375,17603.869140625,5065.85009765625,92.09841918945312,12.912740707397461,17.290000915527344
2015-12-31,2043.93994140625,1135.8900146484375,17425.029296875,5007.41015625,92.34637451171875,12.980752944946289,18.209999084472656
2016-01-04,2012.6600341796875,1108.6199951171875,17148.939453125,4903.08984375,92.31219482421875,12.88359260559082,20.700000762939453
2016-01-05,2016.7099609375,1110.43994140625,17158.66015625,4891.43017578125,92.35491943359375,12.757282257080078,19.34000015258789
2016-01-06,1990.260009765625,1094.3699951171875,16906.509765625,4835.759765625,92.7054443359375,12.553243637084961,20.59000015258789
2016-01-07,1943.0899658203125,1064.5699462890625,16514.099609375,4689.43017578125,92.69686889648438,12.494946479797363,24.989999771118164
2016-01-08,1922.030029296875,1046.199951171875,16346.4501953125,4643.6298828125,92.90213775634766,12.436650276184082,27.010000228881836
2016-01-11,1923.6700439453125,1041.9000244140625,16398.5703125,4637.990234375,92.63707733154297,12.09658432006836,24.299999237060547
2016-01-12,1938.6800537109375,1044.699951171875,16516.220703125,4685.919921875,92.84227752685547,12.018856048583984,22.469999313354492
2016-01-13,1890.280029296875,1010.1900024414062,16151.41015625,4526.06005859375,93.05598449707031,11.95084285736084,25.219999313354492
2016-01-14,1921.8399658203125,1025.6700439453125,16379.0498046875,4615.0,93.0218505859375,11.97999095916748,23.950000762939453
2016-01-15,1880.3299560546875,1007.719970703125,15988.080078125,4488.419921875,93.13296508789062,11.727372169494629,27.020000457763672
2016-01-19,1881.3299560546875,994.8699951171875,16016.01953125,4476.9501953125,93.03890991210938,11.630210876464844,26.049999237060547
2016-01-20,1859.3299560546875,999.3099975585938,15766.740234375,4471.68994140625,93.1158447265625,11.542765617370605,27.59000015258789
2016-01-21,1868.989990234375,997.3400268554688,15882.6796875,4472.06005859375,92.98758697509766,11.698224067687988,26.690000534057617
2016-01-22,1906.9000244140625,1020.6599731445312,16093.509765625,4591.18017578125,93.05598449707031,12.048004150390625,22.34000015258789
2016-01-25,1877.0799560546875,997.3699951171875,15885.2197265625,4518.490234375,93.00469970703125,11.785669326782227,24.149999618530273
2016-01-26,1903.6300048828125,1017.969970703125,16167.23046875,4567.669921875,93.12442779541016,12.018856048583984,22.5
2016-01-27,1882.949951171875,1002.75,15944.4599609375,4468.169921875,93.14149475097656,12.16459846496582,23.110000610351562
2016-01-28,1893.3599853515625,1003.27001953125,16069.6396484375,4506.68017578125,93.21844482421875,12.300623893737793,22.420000076293945
2016-01-29,1940.239990234375,1035.3800048828125,16466.30078125,4613.9501953125,93.49203491210938,12.417217254638672,20.200000762939453
2016-02-01,1939.3800048828125,1032.3900146484375,16449.1796875,4620.3701171875,93.37893676757812,12.184029579162598,19.979999542236328
2016-02-02,1903.030029296875,1008.8400268554688,16153.5400390625,4516.9501953125,93.66168212890625,11.97027587890625,21.979999542236328
2016-02-03,1912.530029296875,1010.2999877929688,16336.66015625,4504.240234375,93.65312957763672,12.271475791931152,21.649999618530273
2016-02-04,1915.449951171875,1014.7899780273438,16416.580078125,4509.56005859375,93.7473373413086,12.252042770385742,21.84000015258789
2016-02-05,1880.050048828125,985.6199951171875,16204.9697265625,4363.14013671875,93.66168212890625,12.174314498901367,23.3799991607666
2016-02-08,1853.43994140625,969.3400268554688,16027.0498046875,4283.75,94.02152252197266,12.116018295288086,26.0
2016-02-09,1852.2099609375,963.9000244140625,16014.3798828125,4268.759765625,94.01297760009766,11.805100440979004,26.540000915527344
2016-02-10,1851.8599853515625,963.47998046875,15914.740234375,4283.58984375,94.24429321289062,11.824533462524414,26.290000915527344
2016-02-11,1829.0799560546875,953.719970703125,15660.1796875,4266.83984375,94.30426025390625,11.97027587890625,28.139999389648438
2016-02-12,1864.780029296875,971.989990234375,15973.83984375,4337.509765625,94.04722595214844,12.145166397094727,25.399999618530273
2016-02-16,1895.5799560546875,995.7999877929688,16196.41015625,4435.9599609375,93.81588745117188,12.009139060974121,24.110000610351562
2016-02-17,1926.8199462890625,1011.1300048828125,16453.830078125,4534.06005859375,93.7645034790039,12.261759757995605,22.309999465942383
2016-02-18,1917.8299560546875,1004.7100219726562,16413.4296875,4487.5400390625,94.04722595214844,12.193746566772461,21.639999389648438
2016-02-19,1917.780029296875,1010.010009765625,16391.990234375,4504.43017578125,94.0643539428711,12.086869239807129,20.530000686645508
2016-02-22,1945.5,1021.739990234375,16620.66015625,4570.60986328125,94.09009552001953,12.271475791931152,19.3799991607666
